人	rén	person
刀	dāo	knife
力	lì	power
又	yòu	right hand, again
口	kǒu	mouth
囗	wéi	enclose
土	tǔ	earth
夕	xī	sunset
大	dà	big
女	nǚ	female
子	zǐ	child
寸	cùn	inch
小	xiǎo	small
工	gōng	labor, work
幺	yāo	tiny, small
弓	gōng	bow
心	xīn	heart
戈	gē	dagger-axe
手	shǒu	hand
日	rì	sun
月	yuè	moon
木	mù	wood
水	shuǐ	water
火	huǒ	fire
田	tián	field
目	mù	eye
示	shì	show
糸	mì	fine silk
耳	ěr	ear
衣	yī	clothing
言	yán	speech
贝	bèi	cowrie shell
走	zǒu	walk
足	zú	foot
金	jīn	gold
门	mén	door
隹	zhuī	short-tailed bird
雨	yǔ	rain
食	shí	eat
马	mǎ	horse
一	yī	one
二	èr	two
三	sān	three
四	sì	four
五	wǔ	five
六	liù	six
七	qī	seven
八	bā	eight
九	jiǔ	nine
十	shí	ten
一百	yībǎi	one hundred
你	nǐ	you
好	hǎo	fine, good, nice, OK, it's settled
请	qǐng	please (polite form of request), to treat or to invite (somebody)
问	wèn	to ask (a question)
贵	guì	honorable, expensive
姓	xìng	(one's) family name is...; family name
我	wǒ	I, me
呢	ne	(question particle)
小姐	xiǎojiě	Miss, young lady
叫	jiào	to be called, to call
什么	shénme	what
名字	míngzi	name
先生	xiānsheng	Mr., husband, teacher
李友	Lǐ Yǒu	(a personal name)
李	lǐ	(a family name), plum
王朋	Wáng Péng	(a personal name)
王	wáng	(a family name), king
是	shì	to be
老师	lǎoshī	teacher
吗	ma	(question particle)
不	bù	not, no
学生	xuésheng	student
也	yě	too, also
人	rén	people, person
中国	Zhōngguó	China
京北	Běijīng	Beijing
美国	Měiguó	America
纽约	Niǔyuē	New York
韩国	Hánguó	South Korea
那	nà	that
的	de	(a possessive or descriptive particle)
照片	zhàopiàn	picture, photo
这	zhè	this
爸爸	bàba	father, dad
妈妈	māma	mother, mom
个	gè/ge	(measure word for many common everyday objects)
女	nǚ	female
孩子	háizi	child
谁	shéi	who
她	tā	she, her
姐姐	jiějie	older sister
男	nán	male
弟弟	dìdi	younger brother
他	tā	he, him
大哥	dàgē	eldest/oldest brother
儿子	érzi	son
有	yǒu	to have, to exist
女儿	nǚ'ér	daughter
没	méi	not
高文中	Gāo Wénzhōng	(a personal name)
高	gāo	(a family name); tall, high
家	jiā	family, home
几	jǐ	how many, some, a few
口	kǒu	(measure word for number of family members)
哥哥	gēge	older brother
两	liǎng	two, a couple of
妹妹	mèimei	younger sister
和	hé	and 
大姐	dàjiě	eldest/oldest sister
二姐	èrjiě	second oldest sister
做	zuò	to do
工作	gōngzuò	job; to work
律师	lǜshī	lawyer
英文	Yīngwén	the English language
都	dōu	both, all
大学生	dàxuéshēng	college student
大学	dàxué	university, college
医生	yīshēng	doctor, physician
白英爱	Bái Yīng'ài	(a personal name)
九月	jiǔyuè	September
月	yuè	month
十二	shí‘èr	twelve
号	hào	(measure word for position in a numerical series, day of the month)
星期	xīngqī	week
星期四	xīngqīsì	Thursday
天	tiān	day
生日	shēngrì	birthday
生	shēng	to give birth to, to be born
日	rì	day, sun
今年	jīnnián	this year
年	nián	year
多	duō	how many/much, to what extent
大	dà	big, old
十八	shíbā	eighteen
岁	suì	year (of age)
吃	chī	to eat
饭	fàn	meal, (cooked) rice
怎么样	zěnmeyàng	Is it OK? How is that? How does that sound?
太…了	tài…le	too, extremely
谢谢	xièxie	to thank
喜欢	xǐhuān	to like
菜	cài	dish, cuisine
还是	háishi	or
可是	kěshì	but
我们	wǒmen	we, us
点	diǎn	o'clock (lit. dot, point, thus "points on the clock")
半	bàn	half, half an hour
晚上	wǎnshang	evening, night
见	jiàn	to see
再见	zàijiàn	goodbye, see you again
再	zài	again
英国	Yīngguó	Britain
现在	xiànzài	now
刻	kè	quarter (of an hour)
事儿	shì'r	matter, affair, event
今天	jīntiān	today
很	hěn	very
忙	máng	busy
明天	míngtiān	tomorrow
晚饭	wǎnfàn	dinner, supper
为什么	wéishénme	why
为	wéi	for
因为	yīnwéi	because
还	hái	also, too, as well
同学	tóngxué	classmate
认识	rènshi	to be acquainted with, to recognize
朋友	péngyou	friend
周末	zhōumò	weekend
打球	dǎqiú	to play ball
打	dǎ	to hit
球	qiú	ball
看	kàn	to watch, to look, to read
电视	diànshì	television
电	diàn	electricity
视	shì	vision
唱歌	chàng gē	to sing (a song)
唱歌儿	chàng gēr	to sing (a song)
唱	chàng	to sing
歌	gē	song
跳舞	tiào wǔ	to dance
跳	tiào	to jump
舞	wǔ	dance
听	tīng	to listen
音乐	yīnyuè	music
书	shū	book
对	duì	right, correct
有的	yǒude	some
时候	shíhou	(a point in) time, moment, (a duration of) time
电影	diànyǐng	movie
影	yǐng	shadow
常常	chángcháng	often
那	nà	in that case, then
去	qù	to go
外国	wàiguó	foreign country
请客	qǐng kè	to invite a guest
昨天	zuótiān	yesterday
所以	suǒyǐ	so
小	xiǎo	small, little
好久	hǎo jiǔ	a long time
好	hǎo	very
久	jiǔ	long (of time)
不错	búcuò	pretty good
错	cuò	wrong
想	xiǎng	to want to, would like to
觉得	juéde	to feel, to think
有意思	yǒu yìsi	interesting
意思	yìsi	meaning
只	zhī	only
睡觉	shuìjiào	to sleep
睡	shuì	to sleep
觉	jiào	sleep
算了	suàn le	forget it, never mind
找	zhǎo	to look for
别人	biérén	other people, another person
别	bié	other
别的	bié de	other
呀	yā	(interjectory particle used to soften a question)
进	jìn	to enter
快	kuài	fast, quick; quickly
进来	jìn lái	to come in
来	lái	to come
介绍	jièshào	to introduce
一下	yí xià	once, a bit
高兴	gāoxìng	happy, pleased
漂亮	piāoliang	pretty
坐	zuò	to sit
在	zài	at, in, on
哪儿	nǎr	where
学校	xuéxiào	school
喝	hē	to drink
点	diǎn	a little, a bit, some
点儿	diǎnr	a little, a bit, some
茶	chá	tea
咖啡	kāfēi	coffee
吧	ba	(a sentence-final particle)
要	yào	to want
瓶	píng	(measure word for bottled liquid, etc.)
可乐	kělè	cola
可以	kěyǐ	can, may
对不起	duìbùqǐ	sorry
给	gěi	to give
杯	bēi	(measure word for things contained in a cup or glass)
水	shuǐ	water
高小音	Gāo Xiǎoyīn	(a personal name)
玩	wán	to have fun, to play
玩儿	wánr	to have fun, to play
了	le	(a dynamic particle)
图书馆	túshūguǎn	library
一起	yìqǐ	together
聊天	liáo tiān	to chat
聊天儿	liáo tiānr	to chat
聊	liáo	to chat
天	tiān	sky
才	cái	not until, only then
回家	huí jiā	to go home
回	huí	to return
给	gěi	to, for
打电话	dǎ diànhuà	to make a phone call
电话	diànhuà	telephone
喂	wéi/wèi	(on the phone) Hello!, Hey!
在	zài	to be present, to be at (a place)
就	jiù	precisely, exactly
您	nín	you (honorific for 你)
哪	nǎ	which
位	wèi	(polite measure word for people)
下午	xiàwǔ	afternoon
时间	shíjiān	time
问题	wèntí	question, problem
要	yào	will, to be going to, to want to, to have a desire to
开会	kāihuì	to have a meeting
开	kāi	to open, to hold (a meeting, party, etc.)
会	huì	meeting
上午	shàngwǔ	morning
节	jié	(measure word for class periods)
课	kè	class, course, lesson
年级	niánjí	grade in school
考试	kǎo shì	to give or take a test; test
考	kǎo	to give or take a test
试	shì	test; to try, to experiment
以后	yǐhòu	after, from now on, later on
空	kōng	free time
空儿	kōngr	free time
要是	yàoshi	if
方便	fāngbiàn	convenient
到	dào	to go to, to arrive
